0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
1.1106653,0.022053637,-2.208281,-1.3791859,-1.0308061,0.0887464,1.911503,1.6660471,-0.67070216,1.1924037,0.5960368,-0.01624423,-0.26160192,-2.9662602,0.91308117,1.8723931,0.9478684,1.6457648,-0.17660105,0.9627034,0.54033256,-1.0148194,0.07768269,0.18585777,0.97412956,1.207298,0.40210843,-0.09163429,0.9229728,-0.046572104,0.44642362,-0.9522388,0.53105587,0.69469666,0.41426507,-0.101998314,0.21652994,0.63103455,1.9218599,-0.99960065
0.536091,0.4022987,0.06294215,-0.1784203,-0.7585369,-0.48060334,-1.4657774,-1.2539953,-0.96912044,-0.43388525,-1.2220575,-0.8615961,-1.370344,-1.3766212,-0.72487974,-0.9166237,-0.9421566,-0.09073494,-0.4589087,-0.14048949,-0.910873,-0.7678987,-0.41618854,-0.32579172,-0.33694336,0.35909012,-0.28424123,-0.90576047,-1.1145247,-0.38014385,0.06840635,-0.023277083,-0.09134486,-0.3798257,-0.29433054,0.40085152,0.3947127,-0.61955863,-0.8756697,0.20627362
-0.24004747,1.2961735,-2.7097735,-3.5645287,-1.7661184,-4.9313073,3.282403,3.2322464,0.83183086,-0.58629775,1.0003428,0.5242304,4.59031,-2.1945484,-3.0513518,-2.576957,0.086388096,0.121633716,1.2238357,-3.1953697,0.3567001,2.0771239,2.0540621,-0.3538564,-0.6283199,-2.3153574,0.4186214,-0.28417155,-0.7366199,-1.6829656,-0.7405263,-0.47332805,1.2698013,0.7917829,0.30883154,-0.12785894,0.07485,0.21436171,0.90446687,-0.4367983
-1.0459936,0.99828076,0.36982518,0.3596657,1.0690085,0.35444972,0.64826256,0.5089858,-0.023276016,0.17818242,0.2891717,0.41942954,-0.2360651,-0.11611611,-0.308065,-0.015529673,0.30906218,0.07771278,-0.3407753,-0.049900644,-0.12792607,0.34296066,0.25846332,-0.626198,-0.8870968,-0.48066783,-0.4355928,-0.8932857,-1.0250399,-1.2790273,-0.5514948,-0.44386414,-0.3437569,-0.7652558,-0.71202016,-1.1245403,0.47000703,0.29661435,0.1384989,-0.3012951
2.1242783,1.1149029,-0.4791259,-0.45488757,-0.83506393,-0.7330977,-0.06936714,0.9232674,0.81905395,0.14140114,-0.54650474,-0.72218704,-1.34301,-1.398027,-0.91040564,-0.51323515,-0.16612834,0.19909726,-0.18536411,-0.06970062,-0.30726206,-0.5334666,-0.84409964,-0.6369755,-0.45744345,-1.2102442,-0.14468281,-0.38668945,-0.44969583,-1.1928536,-0.89472973,-1.6524177,-0.88970673,-1.0654346,0.14343143,0.24436727,0.57611525,0.05522128,0.014494545,-0.119856656
-0.4643851,-0.4584867,-1.5533787,0.9417429,-0.12310444,-0.7446408,1.3449626,-0.57657313,-0.041204948,0.42765725,-0.78457266,2.550321,0.8269304,-0.4101432,0.26530966,-0.21707672,0.87403464,0.17014432,-0.18824041,0.28008187,0.7157778,0.7476434,0.050068118,-0.52627707,0.27468586,0.028021138,0.11270835,-0.31273046,-0.5141993,-0.27956203,0.4388213,0.23550168,-0.088293575,-0.42648152,0.12085131,0.14498386,1.0033665,-0.8183418,-0.6749716,0.010907817
0.9848317,-1.3990704,0.9171111,0.95381683,-0.62889445,1.8820597,-1.4875903,1.0487413,-1.0742341,0.2524613,-0.22569273,0.4187075,0.18441424,0.6693118,-0.445949,0.2923338,-0.30788058,1.0296549,0.13374974,1.8967648,0.06286725,1.0551984,0.29797432,0.68712103,-1.3207239,1.3719547,-0.5363287,0.34839737,0.1962805,0.40532532,0.4674931,1.3347003,-0.30292735,0.7288079,-1.358572,1.2241218,-0.0031230561,0.61180955,0.113238804,-0.24484208
0.51918876,0.5338634,-1.030081,0.7272916,-0.6048171,-1.1968554,-0.13866447,0.26980382,-0.65367603,1.0975659,0.0075936313,-0.55309564,-0.72128254,0.9862452,1.1631833,1.2309575,1.7550113,0.17846578,0.82327145,1.2884635,0.7776745,-0.22161236,-2.0789044,-2.2217307,-0.719987,-1.1665391,-1.4503456,-0.45405594,3.628796,2.3146393,-2.1630974,-1.7919614,1.9449832,1.4433314,0.1774225,2.0062106,1.5203488,-2.8928564,-2.2938056,0.05488466
0.5790791,0.64974844,-1.0978557,1.3006612,-0.35678905,-1.5113802,1.2917552,-0.27433857,-2.068699,1.1835219,-1.5128707,-1.9841676,0.06281599,-0.43015322,-1.1459844,-0.77600217,-0.759696,-0.3638936,-1.5526162,-1.3154056,-1.0785528,-2.2354143,-0.668481,-0.057776537,0.4561454,-1.2003788,0.96214527,-1.1518133,-0.45447484,-0.21697849,0.04784049,-1.4823036,-0.016269157,-0.5528976,-0.17807417,-0.68556833,0.09144926,-1.0113991,-1.9182018,0.08570305
0.7946398,0.21115534,0.760816,-0.0012434954,-0.42027488,1.7124466,-0.6376116,0.9269217,-0.4925127,0.12358234,-0.17059912,-0.36728153,-0.6592119,-0.3552316,-0.3173564,-0.28772834,-0.9974699,0.7164232,-1.0176009,1.0789193,-0.23446701,0.17471555,0.19074592,-0.35381368,0.21039541,-0.524895,-0.7806926,-0.7338205,-0.9627394,-0.47522658,-1.1600206,-0.6153996,-0.63285136,-0.8732208,-0.4413999,-1.4692345,-0.49898067,-0.9151717,-0.36935169,-0.9308146
